site_id,site_type,site_size,site_width,wires,improvement
1,Strip,Large,8.5,None,Improved
2,Strip,Large,8.5,Other,Improved
3,Strip,Large,6.5999999,Other,Improved
4,Strip,Large,6.80000019,Other,Improved
5,Strip,Medium,8.5,High voltage,Improved
6,Strip,Medium,10.1999998,High voltage,Improved
7,Strip,Large,10.5,None,Improved
8,Strip,Large,6.5,None,Improved
9,Strip,Large,7.5,None,Improved
10,Strip,Large,6,Other,Improved
11,Strip,Large,8,None,Improved
12,Strip,Large,9,None,Improved
13,Strip,Large,8.89999962,None,Improved
14,Strip,Large,6,None,Improved
15,Strip,Medium,9,High voltage,Improved
16,Strip,Small,3,High voltage,Improved
17,Strip,Small,3,None,Improved
18,Strip,Medium,4,None,Improved
19,Strip,Small,2.9000001,None,Improved
20,Strip,Small,2.79999995,None,Improved
21,Strip,Medium,4,High voltage,Improved
22,Strip,Small,3.5999999,None,Improved
23,Strip,Small,3.4000001,None,Improved
24,Strip,Small,3.5,None,Improved
25,Strip,Large,9.69999981,Other,Improved
26,Strip,Medium,6.30000019,High voltage,Improved
27,Strip,Large,6.5999999,None,Improved
28,Strip,Large,7,None,Improved
29,Strip,Small,2.79999995,Other,Improved
30,Strip,Small,2.79999995,High voltage,Improved
31,Strip,Large,9,Other,Improved
32,Strip,Large,6.69999981,Other,Improved
33,Strip,Large,8.80000019,Other,Improved
34,Strip,Large,8.69999981,None,Improved
35,Strip,Medium,4,Other,Improved
36,Strip,Medium,8.69999981,High voltage,Improved
37,Strip,Large,9.30000019,Other,Improved
38,Strip,Large,8.80000019,None,Improved
39,Strip,Medium,8.60000038,High voltage,Improved
40,Cutout,Medium,4,Other,Improved
41,Strip,Large,11,Other,Improved
42,Strip,Small,1.5,None,Improved
43,Strip,Small,2.5,None,Improved
44,Strip,Medium,4.5999999,None,Improved
45,Other,Large,0,None,Underimproved
46,Strip,Medium,4.5999999,Other,Improved
47,Strip,Medium,4.5,None,Improved
48,Cutout,Small,2.5,None,Improved
49,Strip,Medium,4.5,High voltage,Improved
50,Strip,Medium,6,High voltage,Improved
51,Strip,Medium,6.5,High voltage,Improved
52,Strip,Medium,7,High voltage,Improved
53,Strip,Large,7.5,Other,Improved
54,Strip,Medium,7.5,High voltage,Improved
55,Strip,Small,2.5,High voltage,Improved
56,Strip,Small,3.5,Other,Improved
57,Strip,Small,3.20000005,Other,Improved
58,Strip,Medium,4.4000001,None,Improved
59,No curb - no sidewalk,Large,0,None,Underimproved
60,Cutout,Small,3.5,None,Improved
61,Strip,Medium,7.30000019,High voltage,Improved
62,Strip,Medium,5,Other,Improved
63,Strip,Large,9.30000019,None,Improved
64,Strip,Large,10,None,Improved
65,Strip,Medium,5,High voltage,Improved
66,Strip,Large,8.60000038,None,Improved
67,Strip,Large,7.30000019,None,Improved
68,Strip,Medium,9.5,High voltage,Improved
69,Strip,Medium,5,None,Improved
70,Strip,Large,6.5,Other,Improved
71,Strip,Large,8.60000038,Other,Improved
72,Strip,Large,7.4000001,None,Improved
73,Strip,Small,3.5,High voltage,Improved
74,Cutout,Small,3.5,High voltage,Improved
75,Strip,Small,3,Other,Improved
76,Strip,Large,7,Other,Improved
77,Curb - no sidewalk,Medium,0,Other,Underimproved
78,Strip,Large,9.5,None,Improved
79,Strip,Large,9.89999962,None,Improved
80,Strip,Medium,5.5,None,Improved
81,Strip,Large,8.69999981,Other,Improved
