tree_id,pathogen_id,date_detected
15,1,2023-09-01
16,8,2021-04-07
34,8,2024-09-02
47,1,2025-10-06
48,1,2025-08-25
81,1,2022-01-05
83,8,2025-07-28
95,8,2023-02-17
107,8,2021-05-08
114,8,2025-05-12
125,3,2024-11-06
152,8,2023-03-17
167,8,2024-06-19
184,8,2021-12-31
190,1,2024-02-03
191,1,2025-06-27
195,8,2022-11-20
224,8,2024-10-11
226,1,2024-07-11
228,8,2024-10-27
229,8,2025-01-31
230,8,2023-09-12
241,8,2024-07-09
246,8,2024-03-04
259,8,2021-07-06
262,3,2024-11-07
270,8,2025-02-18
274,1,2022-01-27
294,5,2024-04-25
310,1,2025-10-11
311,4,2023-03-23
322,8,2022-06-27
334,8,2021-07-12
343,1,2025-11-19
352,3,2024-12-06
353,8,2022-11-19
360,1,2024-06-29
406,8,2025-10-02
410,2,2022-08-22
410,3,2025-07-22
412,2,2025-12-04
416,8,2024-08-27
424,8,2025-02-18
440,8,2024-02-19
450,8,2024-10-28
510,1,2025-07-20
532,8,2021-10-06
571,1,2024-09-16
601,8,2021-05-15
602,8,2021-12-31
603,8,2026-02-26
611,5,2021-03-13
615,8,2023-10-15
624,8,2024-12-20
648,6,2023-08-31
655,4,2024-02-23
665,2,2022-05-11
671,3,2025-07-07
675,4,2021-07-13
684,8,2026-02-07
686,6,2025-03-27
688,6,2022-08-27
689,1,2025-05-08
695,1,2021-11-23
703,6,2021-04-24
729,8,2021-05-05
731,9,2023-05-30
732,9,2023-09-09
737,2,2021-12-27
738,8,2024-11-01
741,1,2024-10-24
743,8,2022-10-09
748,8,2023-03-09
749,8,2023-05-29
774,1,2024-11-22
775,10,2023-04-20
776,9,2021-07-21
777,9,2021-05-15
784,2,2021-11-26
801,8,2025-09-23
820,8,2021-09-21
825,6,2024-06-17
836,8,2022-04-14
851,6,2024-12-15
854,1,2021-10-02
875,8,2022-01-20
892,8,2026-01-13
896,8,2024-11-06
897,8,2022-04-29
898,8,2023-03-16
910,2,2024-11-09
920,8,2025-06-02
922,3,2023-04-02
923,8,2023-11-10
926,1,2024-01-21
935,8,2026-01-28
940,8,2022-12-06
946,8,2022-02-23
952,8,2025-12-23
960,8,2022-03-03
963,8,2024-05-26
977,2,2024-07-09
985,8,2021-12-16
986,8,2022-06-29
989,1,2022-10-10
994,8,2026-02-23
995,8,2024-02-09
1002,8,2022-06-16
1009,10,2022-03-18
1012,8,2025-06-24
1030,8,2023-08-20
1038,1,2024-02-02
1052,6,2021-10-20
1053,8,2023-04-11
1054,8,2023-08-24
1060,8,2023-04-29
1063,10,2023-01-05
1069,8,2023-04-14
1082,8,2024-11-20
1093,1,2023-12-09
1103,3,2024-10-08
1109,8,2021-12-26
1117,2,2025-01-22
1120,1,2025-01-23
1137,8,2024-08-29
1142,8,2025-06-28
1152,8,2025-09-15
1155,3,2024-09-02
1158,8,2024-01-29
1168,8,2025-08-13
1171,2,2022-03-13
1178,8,2023-04-17
1179,8,2025-11-27
1201,8,2022-06-30
1202,8,2023-03-27
1208,8,2024-01-19
1220,8,2021-11-27
1226,8,2024-10-28
1235,8,2023-06-16
1239,8,2025-08-15
1244,5,2025-05-13
1247,5,2022-06-20
1248,8,2022-10-25
1254,5,2024-07-18
1268,8,2025-01-27
1269,1,2021-03-29
1273,1,2022-09-21
1276,8,2022-09-26
1293,8,2023-06-06
1319,8,2023-06-22
1324,1,2023-01-09
1331,8,2024-10-16
1341,8,2022-12-30
1346,8,2024-10-30
1352,3,2023-05-05
1367,8,2022-07-30
1374,8,2024-07-16
1379,8,2025-11-16
1384,1,2025-06-09
1405,3,2022-12-09
1416,8,2023-08-23
1421,5,2021-08-01
1426,5,2023-07-27
1435,8,2025-08-07
1441,1,2021-04-25
1455,1,2022-11-27
1456,1,2022-05-17
1468,8,2022-07-09
1471,2,2025-02-02
1478,4,2026-03-01
1497,3,2025-11-30
1505,8,2023-11-22
1506,1,2024-02-22
1513,3,2025-10-23
1516,4,2025-03-17
1523,8,2024-02-21
1525,2,2025-09-24
1556,8,2024-04-23
1607,8,2024-12-12
1614,3,2024-08-31
1638,2,2025-01-07
1648,5,2023-05-13
1665,8,2022-06-01
1666,8,2023-04-18
1679,1,2025-06-27
1689,1,2026-02-06
1696,2,2024-08-26
1707,5,2021-07-18
1720,8,2022-10-06
1724,1,2025-01-02
1728,8,2023-10-11
1733,10,2024-12-05
1742,8,2024-01-28
1756,2,2024-11-23
1758,8,2022-09-11
1774,8,2025-02-09
1783,8,2024-06-08
1796,1,2024-11-15
1812,1,2022-12-21
1817,1,2022-05-12
1820,1,2024-11-24
1855,1,2023-07-03
1868,4,2021-12-23
1871,8,2023-06-14
1872,3,2023-11-27
1894,8,2022-06-17
1917,1,2023-01-04
1919,9,2021-03-30
1920,8,2025-03-21
1922,8,2023-12-11
1940,3,2024-08-20
1947,3,2021-07-04
1948,2,2023-02-16
1958,8,2025-03-19
1965,8,2022-02-25
1973,8,2023-01-07
1974,1,2026-02-08
1979,8,2026-03-03
2005,3,2023-12-31
2014,8,2023-05-29
2016,1,2021-09-07
2018,8,2023-08-14
2023,1,2022-10-09
2024,1,2022-08-15
2029,8,2022-08-23
2035,8,2022-07-05
2043,3,2022-04-19
2047,3,2022-05-25
2048,8,2021-07-06
2071,9,2024-07-29
2085,8,2023-06-27
2090,8,2025-07-23
2106,2,2025-08-14
2106,3,2021-09-23
2108,3,2021-05-16
2109,3,2022-12-14
2112,3,2023-04-30
2116,2,2026-02-06
2143,3,2024-01-17
2161,2,2025-07-07
2164,10,2025-01-02
2166,10,2024-08-09
2194,3,2023-07-18
2199,8,2023-07-18
2203,8,2022-06-16
2207,8,2025-07-12
2240,8,2023-12-05
2244,3,2023-08-20
2252,3,2021-09-18
2258,3,2022-03-28
2274,8,2023-06-19
2311,8,2022-09-05
2318,8,2024-04-28
2338,8,2025-08-26
2343,1,2023-12-13
2344,1,2025-12-28
2349,2,2025-03-12
2353,2,2023-06-17
2378,8,2025-07-30
2387,2,2022-07-07
2393,1,2021-06-07
2394,1,2024-06-29
2418,2,2026-01-02
2419,3,2022-04-05
2422,3,2023-12-07
2425,3,2021-10-16
2429,2,2024-06-17
2432,3,2023-07-18
2439,9,2024-10-04
2467,8,2022-06-01
2469,8,2023-08-03
2527,8,2025-11-27
2533,8,2024-08-11
2546,8,2022-07-16
2569,8,2023-04-06
2570,1,2022-01-26
2572,1,2023-03-08
2575,4,2022-11-18
2577,8,2022-06-22
2598,3,2025-02-25
2601,8,2022-11-21
2609,8,2024-07-14
2628,8,2025-10-20
2653,6,2022-10-09
2662,8,2025-02-03
2665,8,2022-01-21
2669,8,2025-04-06
2686,8,2021-05-26
2709,2,2021-07-17
2709,3,2022-11-08
2710,2,2021-04-21
2713,1,2024-02-06
2714,1,2025-05-01
2735,5,2025-06-09
2760,5,2024-03-16
2762,2,2023-10-11
2762,3,2024-04-27
2765,8,2022-10-27
2766,1,2025-07-07
2779,2,2023-02-19
2784,1,2026-01-19
